14:52:55.187 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.huishuo.hdata.xml.HDataJobXMLTest], using SpringBootContextLoader
14:52:55.197 [main] INFO  o.s.t.c.s.AbstractContextLoader - Could not detect default resource locations for test class [com.huishuo.hdata.xml.HDataJobXMLTest]: no resource found for suffixes {-context.xml, Context.groovy}.
14:52:55.198 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.huishuo.hdata.xml.HDataJobXMLTest]: HDataJobXMLTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
14:52:55.406 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.huishuo.hdata.Application for test class com.huishuo.hdata.xml.HDataJobXMLTest
14:52:55.534 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener]
14:52:55.551 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@5b12b668, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@1165b38, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@4c12331b, org.springframework.test.context.support.DirtiesContextTestExecutionListener@7586beff, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@3b69e7d1, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@815b41f, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@5542c4ed, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@1573f9fc, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@6150c3ec]
14:52:56.084 [main] INFO  c.huishuo.hdata.xml.HDataJobXMLTest - Starting HDataJobXMLTest on lixiaobai with PID 24780 (started by haoyue in C:\Users\haoyu\Documents\Project\hdata\common)
14:52:56.085 [main] INFO  c.huishuo.hdata.xml.HDataJobXMLTest - No active profile set, falling back to default profiles: default
14:52:56.555 [main] INFO  o.s.b.f.a.AutowiredAnnotationBeanPostProcessor - Autowired annotation is not supported on static fields: private static java.lang.String com.huishuo.hdata.xml.HDataJobXML.xmlRootPath
14:52:56.674 [main] INFO  c.huishuo.hdata.xml.HDataJobXMLTest - Started HDataJobXMLTest in 1.037 seconds (JVM running for 2.295)
14:54:02.757 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.huishuo.hdata.xml.HDataJobXMLTest], using SpringBootContextLoader
14:54:02.767 [main] INFO  o.s.t.c.s.AbstractContextLoader - Could not detect default resource locations for test class [com.huishuo.hdata.xml.HDataJobXMLTest]: no resource found for suffixes {-context.xml, Context.groovy}.
14:54:02.769 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.huishuo.hdata.xml.HDataJobXMLTest]: HDataJobXMLTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
14:54:02.945 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.huishuo.hdata.Application for test class com.huishuo.hdata.xml.HDataJobXMLTest
14:54:03.113 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener]
14:54:03.133 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@5b12b668, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@1165b38, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@4c12331b, org.springframework.test.context.support.DirtiesContextTestExecutionListener@7586beff, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@3b69e7d1, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@815b41f, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@5542c4ed, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@1573f9fc, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@6150c3ec]
14:54:03.748 [main] INFO  c.huishuo.hdata.xml.HDataJobXMLTest - Starting HDataJobXMLTest on lixiaobai with PID 28264 (started by haoyue in C:\Users\haoyu\Documents\Project\hdata\common)
14:54:03.749 [main] INFO  c.huishuo.hdata.xml.HDataJobXMLTest - No active profile set, falling back to default profiles: default
14:54:04.420 [main] INFO  c.huishuo.hdata.xml.HDataJobXMLTest - Started HDataJobXMLTest in 1.21 seconds (JVM running for 2.433)
14:55:21.875 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.huishuo.hdata.xml.HDataJobXMLTest], using SpringBootContextLoader
14:55:21.885 [main] INFO  o.s.t.c.s.AbstractContextLoader - Could not detect default resource locations for test class [com.huishuo.hdata.xml.HDataJobXMLTest]: no resource found for suffixes {-context.xml, Context.groovy}.
14:55:21.887 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.huishuo.hdata.xml.HDataJobXMLTest]: HDataJobXMLTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
14:55:22.155 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.huishuo.hdata.Application for test class com.huishuo.hdata.xml.HDataJobXMLTest
14:55:22.355 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener]
